customer_identifier,year,month,total_money,total_discount_money,total_tip_money,transactions
02701BD44EPWYXYYC7BDY72CNG,2023,7,11.0,1.0,0.0,1
0A0Y0KA6ND0QWGDS2S9FNAS440,2019,6,18.0,0.0,2.0,1
0A0Y0KA6ND0QWGDS2S9FNAS440,2020,4,27.0,0.0,0.0,1
0A0Y0KA6ND0QWGDS2S9FNAS440,2020,6,126.25,0.0,20.0,2
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,1,98.0,0.0,18.0,2
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,2,55.25,0.0,10.0,1
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,3,227.0,0.0,38.0,5
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,4,41.75,0.0,7.0,1
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,5,106.75,0.0,12.0,3
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,6,128.75,7.5,22.0,3
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,7,104.0,0.0,18.0,3
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,8,186.75,0.0,32.5,5
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,9,56.5,0.0,10.0,1
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,10,168.25,0.0,31.0,5
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,11,37.25,0.0,6.0,1
0A0Y0KA6ND0QWGDS2S9FNAS440,2021,12,176.25,0.0,29.0,3
0A0Y0KA6ND0QWGDS2S9FNAS440,2022,1,127.75,2.0,21.0,2
0A0Y0KA6ND0QWGDS2S9FNAS440,2022,2,31.75,0.0,6.0,1
0A0Y0KA6ND0QWGDS2S9FNAS440,2022,3,130.25,0.0,22.0,3
0A0Y0KA6ND0QWGDS2S9FNAS440,2022,4,146.0,0.0,27.5,4
0A0Y0KA6ND0QWGDS2S9FNAS440,2022,5,174.5,7.5,31.0,4
0A0Y0KA6ND0QWGDS2S9FNAS440,2022,6,129.5,0.0,22.0,3
0AJ9GR61TH15EH5JD2X3M5FMWC,2015,11,21.0,0.0,3.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2015,12,24.72,0.0,3.22,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2016,4,30.0,0.0,5.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2016,9,29.5,0.0,5.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2019,1,19.5,0.0,3.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2019,3,38.0,0.0,6.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2019,4,52.75,0.0,9.0,2
0AJ9GR61TH15EH5JD2X3M5FMWC,2019,5,53.0,0.0,8.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2019,6,18.5,0.0,3.0,2
0AJ9GR61TH15EH5JD2X3M5FMWC,2019,10,48.0,0.0,8.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2019,12,68.0,0.0,12.0,2
0AJ9GR61TH15EH5JD2X3M5FMWC,2020,2,28.5,0.0,5.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2020,3,20.0,0.0,2.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2020,10,18.5,0.0,3.0,1
0AJ9GR61TH15EH5JD2X3M5FMWC,2020,11,240.5,0.0,29.0,6
0AJ9GR61TH15EH5JD2X3M5FMWC,2020,12,149.0,0.0,14.0,5
0AJ9GR61TH15EH5JD2X3M5FMWC,2021,1,161.0,0.0,18.0,5
0AJ9GR61TH15EH5JD2X3M5FMWC,2021,2,172.0,0.0,24.5,4
