clean_item_name,year,month,location,total_sales,transactions,total_quantity_sold,average_base_price,median_base_price
04 Rimbert For Me Rouge,2023,10,The Dram Shop Front St.,17.5,2,2.0,8.75,8.75
100 Degrees Shandy Inspired Farmhouse Ale,2023,10,The Dram Shop Front St.,12.38,1,1.0,16.5,16.5
10G Pumpkin Spice Latte,2023,10,The Dram Shop Front St.,199.54,22,29.0,7.21,7.0
14th Anniversary Barley Wine Ale,2023,10,The Dram Shop Central,75.0,4,4.0,20.0,20.0
9 Lb Porter,2023,10,The Dram Shop Front St.,324.86,48,55.0,5.91,5.5
9 lb Porter,2023,10,The Dram Shop Central,531.87,76,96.0,5.62,5.5
90 Minute IPA,2023,10,The Dram Shop Front St.,194.0,31,34.0,5.7,6.0
Alt Dunkel,2023,10,The Dram Shop Front St.,3.75,1,1.0,3.75,3.75
Amber Sun,2023,10,The Dram Shop Central,218.25,38,41.0,5.32,5.5
Ambitious Lager,2023,10,The Dram Shop Front St.,567.12,53,116.0,4.94,5.0
Apple Pie Lactose Sour,2023,10,The Dram Shop Front St.,90.0,15,18.0,6.0,6.0
Arlo,2023,10,The Dram Shop Front St.,105.5,13,19.0,5.57,6.5
Astobiza,2023,10,The Dram Shop Front St.,22.05,1,1.0,24.5,24.5
Astro Fresh,2023,10,The Dram Shop Central,499.77,68,87.0,5.98,6.0
Ayinger Bräuweisse,2023,10,The Dram Shop Central,33.5,3,6.0,5.85,6.25
BA Narwhal Imperial Stout,2023,10,The Dram Shop Central,9.62,2,2.0,5.5,5.5
BA Narwhal Imperial Stout,2023,10,The Dram Shop Front St.,91.25,14,16.0,5.93,5.5
Barrel Aged IPA,2023,10,The Dram Shop Front St.,262.01,36,38.0,7.2,7.0
Bay Breeze,2023,10,The Dram Shop Central,585.8,88,102.0,5.75,6.0
Bay Breeze,2023,10,The Dram Shop Front St.,380.0,53,62.0,6.28,6.0
Bay Breeze Pineapple IPA,2023,10,The Dram Shop Central,22.0,3,4.0,5.83,6.5
Bay Breeze Pineapple IPA,2023,10,The Dram Shop Front St.,13.5,2,3.0,4.5,4.5
Beaujolais Gamay,2023,10,The Dram Shop Central,34.0,4,4.0,8.5,8.5
Beaujolais Villages,2023,10,The Dram Shop Front St.,210.6,2,13.0,18.0,18.0
