customer_identifier,year,month,total_money,total_discount_money,total_tip_money,transactions
-QkUaC1aG0akFQGo,2015,4,52.05,0.0,7.55,3
-QkUaC1aG0akFQGo,2015,5,13.5,0.0,2.0,1
-QkUaC1aG0akFQGo,2015,7,23.0,0.0,5.0,1
-QkUaC1aG0akFQGo,2016,7,11.5,0.0,2.0,1
-QkUaC1aG0akFQGo,2016,9,30.0,0.0,3.0,2
-QkUaC1aG0akFQGo,2016,10,15.0,7.5,3.0,1
-QkUaC1aG0akFQGo,2017,1,18.0,0.0,3.0,1
-QkUaC1aG0akFQGo,2017,5,46.0,6.0,7.0,3
-QkUaC1aG0akFQGo,2017,7,21.0,0.0,3.0,1
-QkUaC1aG0akFQGo,2017,8,42.0,0.0,6.0,1
-QkUaC1aG0akFQGo,2017,9,42.0,0.0,6.0,1
-QkUaC1aG0akFQGo,2017,10,26.0,0.0,2.0,1
-QkUaC1aG0akFQGo,2018,1,30.0,4.0,5.5,2
-QkUaC1aG0akFQGo,2018,2,17.0,0.0,3.0,1
-QkUaC1aG0akFQGo,2018,4,22.5,0.0,6.0,2
-QkUaC1aG0akFQGo,2019,1,13.0,0.0,2.5,1
-QkUaC1aG0akFQGo,2019,2,5.5,0.0,1.0,1
-QkUaC1aG0akFQGo,2019,5,33.0,0.0,2.0,2
-QkUaC1aG0akFQGo,2019,9,15.5,0.0,2.5,1
-QkUaC1aG0akFQGo,2020,1,11.0,0.0,2.5,1
-QkUaC1aG0akFQGo,2020,2,11.0,0.0,2.0,1
-QkUaC1aG0akFQGo,2020,9,13.5,0.0,3.0,1
-QkUaC1aG0akFQGo,2021,6,7.5,0.0,3.0,1
-QkUaC1aG0akFQGo,2021,8,6.0,0.0,1.0,1
-QkUaC1aG0akFQGo,2021,11,19.0,0.0,4.0,1
-QkUaC1aG0akFQGo,2021,12,69.0,0.0,10.0,3
-QkUaC1aG0akFQGo,2022,1,21.0,0.0,0.0,1
-QkUaC1aG0akFQGo,2022,4,15.0,0.0,3.0,1
-QkUaC1aG0akFQGo,2022,8,9.0,0.0,3.0,1
-QkUaC1aG0akFQGo,2022,11,36.0,0.0,6.0,1
-QkUaC1aG0akFQGo,2023,1,20.5,0.0,4.0,1
