year,month,hour,location,total_money,total_discount_money,total_tip_money,transactions,identified_customers,square_unique_ids
2015,1,10,The Dram Shop Front St.,1.0,0.0,0.0,1,1,0
2015,3,11,The Dram Shop Front St.,43.0,0.0,5.0,2,2,1
2015,3,12,The Dram Shop Front St.,258.5,0.0,16.0,13,6,1
2015,3,13,The Dram Shop Front St.,435.25,40.0,51.0,26,14,1
2015,3,14,The Dram Shop Front St.,442.4,0.0,21.65,35,11,1
2015,3,15,The Dram Shop Front St.,651.4,22.3,57.45,59,23,1
2015,3,16,The Dram Shop Front St.,1016.27,126.0,83.02,96,34,1
2015,3,17,The Dram Shop Front St.,1688.98,74.0,149.48,130,61,1
2015,3,18,The Dram Shop Front St.,1765.49,103.5,137.74,143,61,1
2015,3,19,The Dram Shop Front St.,1090.61,24.5,121.36,71,36,1
2015,3,20,The Dram Shop Front St.,1373.42,23.0,129.92,92,43,1
2015,3,21,The Dram Shop Front St.,1013.75,0.0,103.5,85,46,1
2015,3,22,The Dram Shop Front St.,233.75,0.0,32.25,21,12,1
2015,4,9,The Dram Shop Front St.,40.0,0.0,0.0,1,1,1
2015,4,10,The Dram Shop Front St.,62.0,0.0,0.0,1,1,1
2015,4,11,The Dram Shop Front St.,5.0,112.0,0.0,4,1,1
2015,4,12,The Dram Shop Front St.,842.5,127.0,37.5,49,22,1
2015,4,13,The Dram Shop Front St.,2250.0,59.0,156.5,143,75,1
2015,4,14,The Dram Shop Front St.,2755.05,136.75,228.8,194,90,1
2015,4,15,The Dram Shop Front St.,3323.62,9.25,282.62,233,102,1
2015,4,16,The Dram Shop Front St.,5772.02,5.5,528.52,477,207,1
2015,4,17,The Dram Shop Front St.,9477.37,68.0,881.12,734,321,1
2015,4,18,The Dram Shop Front St.,9203.36,28.25,952.86,701,331,1
2015,4,19,The Dram Shop Front St.,8988.11,57.25,953.61,660,334,1
2015,4,20,The Dram Shop Front St.,7753.96,195.88,874.34,599,328,1
2015,4,21,The Dram Shop Front St.,4021.32,98.75,496.32,317,190,1
2015,4,22,The Dram Shop Front St.,891.52,88.5,129.52,58,39,1
