year,month,location,total_money,total_discount_money,total_tip_money,transactions,identified_customers,square_unique_ids
2015,1,The Dram Shop Front St.,1.0,0.0,0.0,1,1,0
2015,3,The Dram Shop Front St.,10012.82,413.3,908.37,773,305,1
2015,4,The Dram Shop Front St.,55385.83,986.13,5521.71,4172,1647,1
2015,5,The Dram Shop Front St.,52375.98,951.13,5351.86,3724,1625,1
2015,6,The Dram Shop Front St.,45707.84,1163.0,4507.84,3183,1367,1
2015,7,The Dram Shop Front St.,56278.57,685.02,5724.09,3787,1653,1
2015,8,The Dram Shop Front St.,53072.54,668.75,5631.94,3632,1590,1
2015,9,The Dram Shop Front St.,47503.58,801.83,5212.56,3376,1442,1
2015,10,The Dram Shop Front St.,51835.55,1104.88,5787.62,3966,1630,1
2015,11,The Dram Shop Front St.,43155.46,1238.75,4940.96,3069,1348,1
2015,12,The Dram Shop Front St.,55928.74,2453.64,6039.88,3273,1510,1
2016,1,The Dram Shop Front St.,51130.68,1577.3,6068.48,3465,1622,1
2016,2,The Dram Shop Front St.,49724.14,2021.15,5951.04,3703,1682,1
2016,3,The Dram Shop Front St.,56211.57,2577.24,6978.31,4311,1887,1
2016,4,The Dram Shop Front St.,57139.43,1814.71,6814.14,4293,1903,1
2016,5,The Dram Shop Front St.,60577.89,1955.37,6662.76,4633,1976,1
2016,6,The Dram Shop Front St.,54590.95,2506.25,6072.2,4132,1772,1
2016,7,The Dram Shop Front St.,66442.27,2118.37,7408.39,4766,2081,1
2016,8,The Dram Shop Front St.,57905.38,2598.46,6329.84,4411,1975,1
2016,9,The Dram Shop Front St.,56342.65,1908.17,6443.32,4202,1909,1
2016,10,The Dram Shop Front St.,56660.2,1477.93,6315.18,4057,1794,1
2016,11,The Dram Shop Front St.,48716.14,2917.15,5682.74,3699,1711,1
2016,12,The Dram Shop Front St.,58581.23,2211.71,6274.44,3731,1832,1
2017,1,The Dram Shop Front St.,52363.41,3445.93,6497.09,3826,1791,1
2017,2,The Dram Shop Front St.,52402.63,2283.14,6282.27,3820,1806,1
2017,3,The Dram Shop Front St.,66454.22,2781.54,8315.26,5152,2254,1
2017,4,The Dram Shop Front St.,62881.35,2535.13,7795.48,4848,2187,1
2017,5,The Dram Shop Front St.,63902.91,4114.81,7832.22,5142,2313,1673
2017,6,The Dram Shop Front St.,63377.24,3533.52,7215.76,4913,2128,2157
2017,7,The Dram Shop Front St.,62650.56,3253.91,7411.31,4911,2063,2089
2017,8,The Dram Shop Front St.,68820.95,4444.96,8004.16,5412,2373,2415
2017,9,The Dram Shop Front St.,64185.59,3913.66,7726.25,5235,2247,2283
2017,10,The Dram Shop Front St.,59997.64,3867.88,7275.67,4833,2097,2138
2017,11,The Dram Shop Front St.,55329.06,3345.52,6683.53,4254,1819,1847
2017,12,The Dram Shop Front St.,61805.19,2976.58,7006.54,4204,1907,1939
2018,1,The Dram Shop Front St.,57171.53,3680.86,6976.64,4414,1892,1929
2018,2,The Dram Shop Front St.,55737.79,3752.86,7210.4,4421,1896,1944
2018,3,The Dram Shop Front St.,64117.83,3185.89,8292.72,4983,2227,2266
2018,4,The Dram Shop Front St.,66113.74,3813.37,8722.94,5661,2437,2483
2018,5,The Dram Shop Front St.,68341.12,3884.17,8643.26,5440,2534,2580
2018,6,The Dram Shop Front St.,67241.23,3315.1,8145.85,5136,2351,2383
2018,7,The Dram Shop Front St.,64556.68,3047.68,8210.37,4784,2304,2332
2018,8,The Dram Shop Front St.,66189.88,2606.88,8223.37,4972,2375,2397
2018,9,The Dram Shop Front St.,58559.77,2896.74,7306.26,4463,2129,2156
2018,10,The Dram Shop Front St.,49200.67,2928.05,6599.47,3875,1792,1809
2018,11,The Dram Shop Front St.,48234.36,2608.83,6190.46,3556,1708,1726
2018,12,The Dram Shop Front St.,56894.67,2953.22,6550.14,3672,1825,1841
2019,1,The Dram Shop Front St.,47512.74,2360.96,6427.95,3596,1723,1748
2019,2,The Dram Shop Front St.,52991.39,3498.81,7262.7,3866,1893,1927
2019,3,The Dram Shop Front St.,59945.83,2535.08,8114.66,4638,2232,2267
2019,4,The Dram Shop Front St.,62650.8,2808.02,8602.33,5211,2382,2412
2019,5,The Dram Shop Central,1.0,0.0,0.0,1,1,1
2019,5,The Dram Shop Front St.,63980.4,2272.7,8584.6,4950,2387,2421
2019,6,The Dram Shop Central,29258.71,572.19,3856.65,1901,997,1009
2019,6,The Dram Shop Front St.,67910.94,2957.46,8630.32,4953,2430,2460
2019,7,The Dram Shop Central,31680.45,1048.8,4113.5,2147,1103,1119
2019,7,The Dram Shop Front St.,62405.24,2602.12,8114.3,4695,2262,2287
2019,8,The Dram Shop Central,35382.32,1413.5,4561.32,2341,1212,1224
2019,8,The Dram Shop Front St.,73059.28,2919.28,9113.37,5313,2615,2636
2019,9,The Dram Shop Central,28364.31,1074.29,3629.35,2052,1044,1057
2019,9,The Dram Shop Front St.,68497.02,2557.04,8357.95,4764,2321,2349
2019,10,The Dram Shop Central,34867.73,1490.17,4737.7,2439,1252,1270
2019,10,The Dram Shop Front St.,59236.52,2619.34,7790.68,4358,2092,2108
2019,11,Catering - Dram Shop Front,1537.2,0.0,112.2,92,67,68
2019,11,The Dram Shop Central,38190.55,1175.7,4970.75,2463,1307,1320
