year,month,cat_name,location,total_money,total_discount
2015,1,,The Dram Shop Front St.,1.0,0.0
2015,3,,The Dram Shop Front St.,9104.45,413.3
2015,4,,The Dram Shop Front St.,49864.12,986.13
2015,5,,The Dram Shop Front St.,47024.12,951.13
2015,6,,The Dram Shop Front St.,41200.0,1163.0
2015,7,,The Dram Shop Front St.,50614.48,685.02
2015,8,,The Dram Shop Front St.,47460.6,668.75
2015,9,,The Dram Shop Front St.,42291.02,801.83
2015,10,,The Dram Shop Front St.,46047.93,1104.88
2015,11,,The Dram Shop Front St.,38214.5,1238.75
2015,12,,The Dram Shop Front St.,49888.86,2453.64
2016,1,,The Dram Shop Front St.,45062.2,1577.3
2016,2,,The Dram Shop Front St.,43773.1,2021.15
2016,3,,The Dram Shop Front St.,49233.26,2577.24
2016,4,,The Dram Shop Front St.,50325.29,1814.71
2016,5,,The Dram Shop Front St.,53915.13,1955.37
2016,6,,The Dram Shop Front St.,48527.75,2506.25
2016,7,,The Dram Shop Front St.,59033.88,2118.37
2016,8,,The Dram Shop Front St.,51575.54,2598.46
2016,9,,The Dram Shop Front St.,49899.33,1908.17
2016,10,,The Dram Shop Front St.,24133.55,794.4
2016,10,Ambers/Pales - Bottled,The Dram Shop Front St.,10.75,2.25
2016,10,Ambers/Pales - Draught,The Dram Shop Front St.,2064.03,53.22
2016,10,Barley Wine - Bottled,The Dram Shop Front St.,17.5,0.0
2016,10,Barley Wine - Draught,The Dram Shop Front St.,65.25,0.0
2016,10,Belgian - Bottled,The Dram Shop Front St.,33.0,20.0
2016,10,Belgian - Draught,The Dram Shop Front St.,754.22,13.03
2016,10,Big Beer - Draught,The Dram Shop Front St.,177.75,0.0
2016,10,Cider - Bottled,The Dram Shop Front St.,148.0,0.0
2016,10,Cider - Draught,The Dram Shop Front St.,1976.33,42.17
2016,10,Glassware,The Dram Shop Front St.,48.0,12.0
2016,10,Growlers,The Dram Shop Front St.,793.0,9.0
2016,10,IPA - Bottled,The Dram Shop Front St.,23.0,0.0
2016,10,IPA - Draught,The Dram Shop Front St.,5291.22,187.28
2016,10,Kombucha,The Dram Shop Front St.,378.27,4.73
2016,10,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,77.4,5.85
2016,10,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,2271.38,58.87
2016,10,Misc.,The Dram Shop Front St.,172.0,0.0
2016,10,Porters/Stouts - Bottled,The Dram Shop Front St.,60.0,0.0
2016,10,Porters/Stouts - Draught,The Dram Shop Front St.,2491.82,46.93
2016,10,Red Wine - Bottled,The Dram Shop Front St.,286.6,29.4
2016,10,Seasonal/Event,The Dram Shop Front St.,4113.98,131.27
2016,10,Snacks,The Dram Shop Front St.,166.0,3.0
2016,10,Soda - Bottled,The Dram Shop Front St.,3.0,2.0
2016,10,Soda - Draught,The Dram Shop Front St.,372.73,4.77
2016,10,Softgoods,The Dram Shop Front St.,88.0,0.0
2016,10,Sour - Bottled,The Dram Shop Front St.,86.4,0.6
2016,10,Sour - Draught,The Dram Shop Front St.,2123.24,33.26
2016,10,Tastings,The Dram Shop Front St.,144.0,4.0
2016,10,White Wine - Bottled,The Dram Shop Front St.,90.0,10.0
2016,10,Wine - Bottled,The Dram Shop Front St.,120.75,13.25
2016,10,Wine - Draught,The Dram Shop Front St.,1787.85,8.65
2016,11,,The Dram Shop Front St.,3988.79,675.26
2016,11,Ambers/Pales - Bottled,The Dram Shop Front St.,52.1,17.9
2016,11,Ambers/Pales - Draught,The Dram Shop Front St.,3316.26,197.49
2016,11,Barley Wine - Bottled,The Dram Shop Front St.,39.0,0.0
2016,11,Belgian - Bottled,The Dram Shop Front St.,93.27,1.73
2016,11,Belgian - Draught,The Dram Shop Front St.,1308.89,70.61
2016,11,Big Beer - Draught,The Dram Shop Front St.,283.42,5.58
2016,11,Cider - Bottled,The Dram Shop Front St.,283.26,47.74
2016,11,Cider - Draught,The Dram Shop Front St.,3557.98,127.27
2016,11,Glassware,The Dram Shop Front St.,162.75,5.25
2016,11,Growlers,The Dram Shop Front St.,804.1,15.9
2016,11,IPA - Bottled,The Dram Shop Front St.,45.58,1.42
2016,11,IPA - Draught,The Dram Shop Front St.,9535.56,720.69
2016,11,Kombucha,The Dram Shop Front St.,751.39,14.86
2016,11,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,93.67,8.33
2016,11,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,2754.13,156.37
2016,11,Misc.,The Dram Shop Front St.,217.6,2.4
2016,11,Porters/Stouts - Bottled,The Dram Shop Front St.,215.72,30.78
2016,11,Porters/Stouts - Draught,The Dram Shop Front St.,5114.34,278.91
2016,11,Red Wine - Bottled,The Dram Shop Front St.,78.0,10.0
2016,11,Rosé Wine - Bottled,The Dram Shop Front St.,11.25,3.75
2016,11,Seasonal/Event,The Dram Shop Front St.,2460.56,153.44
2016,11,Snacks,The Dram Shop Front St.,228.9,7.6
2016,11,Soda - Bottled,The Dram Shop Front St.,5.0,0.0
2016,11,Soda - Draught,The Dram Shop Front St.,378.85,17.4
2016,11,Softgoods,The Dram Shop Front St.,170.6,5.4
2016,11,Sour - Bottled,The Dram Shop Front St.,61.6,1.4
2016,11,Sour - Draught,The Dram Shop Front St.,3531.09,87.41
2016,11,Sparkling Wine - Bottled,The Dram Shop Front St.,29.75,4.25
2016,11,Tastings,The Dram Shop Front St.,119.0,0.0
2016,11,White Wine - Bottled,The Dram Shop Front St.,89.88,6.12
2016,11,Wine - Bottled,The Dram Shop Front St.,745.13,128.87
2016,11,Wine - Draught,The Dram Shop Front St.,2505.98,113.02
2016,12,,The Dram Shop Front St.,7706.45,577.05
2016,12,Ambers/Pales - Bottled,The Dram Shop Front St.,78.75,2.25
2016,12,Ambers/Pales - Draught,The Dram Shop Front St.,3557.82,159.68
2016,12,Barley Wine - Bottled,The Dram Shop Front St.,12.25,0.0
2016,12,Belgian - Bottled,The Dram Shop Front St.,177.0,3.0
2016,12,Belgian - Draught,The Dram Shop Front St.,1600.93,63.07
2016,12,Big Beer - Draught,The Dram Shop Front St.,417.74,9.76
2016,12,Bottle Holiday,The Dram Shop Front St.,60.0,93.0
2016,12,Cider - Bottled,The Dram Shop Front St.,315.38,4.62
2016,12,Cider - Draught,The Dram Shop Front St.,3463.02,114.98
2016,12,Glassware,The Dram Shop Front St.,305.2,1.8
2016,12,Growlers,The Dram Shop Front St.,3513.91,122.09
2016,12,IPA - Bottled,The Dram Shop Front St.,50.25,0.0
2016,12,IPA - Draught,The Dram Shop Front St.,9881.42,410.08
2016,12,Kombucha,The Dram Shop Front St.,670.42,16.33
2016,12,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,18.5,12.5
2016,12,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,2863.8,103.7
2016,12,Misc.,The Dram Shop Front St.,330.98,1.02
2016,12,Porters/Stouts - Bottled,The Dram Shop Front St.,306.58,4.42
2016,12,Porters/Stouts - Draught,The Dram Shop Front St.,5363.88,149.12
2016,12,Red Wine - Bottled,The Dram Shop Front St.,64.38,1.62
2016,12,Seasonal/Event,The Dram Shop Front St.,3186.8,109.2
2016,12,Snacks,The Dram Shop Front St.,214.51,4.99
2016,12,Soda - Bottled,The Dram Shop Front St.,8.0,0.0
2016,12,Soda - Draught,The Dram Shop Front St.,457.42,19.08
2016,12,Softgoods,The Dram Shop Front St.,365.0,29.0
2016,12,Sour - Bottled,The Dram Shop Front St.,440.87,20.13
2016,12,Sour - Draught,The Dram Shop Front St.,3454.87,51.38
2016,12,Sparkling Wine - Bottled,The Dram Shop Front St.,246.5,25.5
2016,12,Tastings,The Dram Shop Front St.,19.8,2.2
2016,12,White Wine - Bottled,The Dram Shop Front St.,28.5,10.0
2016,12,Wine - Bottled,The Dram Shop Front St.,555.95,31.05
2016,12,Wine - Draught,The Dram Shop Front St.,2569.91,59.09
2017,1,,The Dram Shop Front St.,2901.69,1214.31
2017,1,Ambers/Pales - Bottled,The Dram Shop Front St.,34.0,1.0
2017,1,Ambers/Pales - Draught,The Dram Shop Front St.,4019.39,241.86
2017,1,Barley Wine - Bottled,The Dram Shop Front St.,6.5,0.0
2017,1,Belgian - Bottled,The Dram Shop Front St.,38.0,20.0
2017,1,Belgian - Draught,The Dram Shop Front St.,1076.47,36.53
2017,1,Big Beer - Draught,The Dram Shop Front St.,305.1,0.65
2017,1,Cider - Bottled,The Dram Shop Front St.,212.71,1.29
2017,1,Cider - Draught,The Dram Shop Front St.,3368.61,131.14
2017,1,Glassware,The Dram Shop Front St.,73.2,32.8
